method,k,seed,inertia,iterations,silhouette,runtime
kmeans++,3,12,374.6237323708166,11,0.4059190147869605,0.002034861987340264
kmeans++,3,13,374.39316080554187,15,0.40111831279660515,0.00285995400918182
kmeans++,3,14,374.39316080554187,12,0.40111831279660515,0.002140879994840361
kmeans++,3,15,374.59995276332586,18,0.40689619211234224,0.0029869299905840307
kmeans++,3,16,374.39316080554187,13,0.40111831279660515,0.002405502993497066
kmeans++,3,17,374.3993774873905,10,0.4013322877216997,0.001769885013345629
kmeans++,3,18,374.59995276332586,13,0.40689619211234224,0.003629564991570078
kmeans++,3,19,374.39316080554187,11,0.40111831279660515,0.0027179269964108244
kmeans++,3,20,374.59995276332586,14,0.40689619211234224,0.00242582599457819
kmeans++,3,21,374.59995276332586,11,0.40689619211234224,0.0020164070010650903
kmeans++,3,22,374.61472393064753,11,0.4054008719034632,0.0019108260021312162
kmeans++,3,23,374.39316080554187,22,0.40111831279660515,0.003948901008698158
kmeans++,3,24,374.59995276332586,9,0.40689619211234224,0.001897288006148301
kmeans++,3,25,374.6062530355673,9,0.40624690135837543,0.0018203859945060685
kmeans++,3,26,374.59995276332586,15,0.40689619211234224,0.0026825660024769604
kmeans++,3,27,374.6237323708166,10,0.4059190147869605,0.0016866910009412095
kmeans++,3,28,374.59995276332586,9,0.40689619211234224,0.0016979909996734932
kmeans++,3,29,374.59995276332586,12,0.40689619211234224,0.0020521359983831644
kmeans++,5,0,244.49320387085135,13,0.34493876865057105,0.003367569006513804
kmeans++,5,1,253.48402733318412,15,0.30947618576275937,0.0035577429953264073
kmeans++,5,2,245.87533562079796,13,0.3296526370332993,0.0031575210014125332
kmeans++,5,3,248.6292902469333,8,0.3371666714579038,0.002428274994599633
kmeans++,5,4,247.92887073023383,11,0.33338461468968317,0.0031499769975198433
kmeans++,5,5,246.95640294606372,14,0.31680110122435795,0.0036466750025283545
kmeans++,5,6,253.53894584294514,17,0.3114820053453926,0.004109044006327167
kmeans++,5,7,266.9066613804438,10,0.29496271329881474,0.0025387450004927814
kmeans++,5,8,246.42796819380257,21,0.3476457384497253,0.004486648002057336
kmeans++,5,9,245.04661168850805,14,0.33351848539426326,0.003664304007543251
kmeans++,5,10,250.5472368860244,14,0.3365688005977779,0.0031833300017751753
kmeans++,5,11,249.4036539929659,11,0.3284574010476054,0.002547912998124957
kmeans++,5,12,244.49320387085135,11,0.34493876865057105,0.0024170949909603223
kmeans++,5,13,249.97489215851311,10,0.3246016211530775,0.0025572669983375818
kmeans++,5,14,248.31059591424003,11,0.3340885342085317,0.0027056170074502006
kmeans++,5,15,248.53735620992086,7,0.33516926368872574,0.0017875890043796971
kmeans++,5,16,242.87485260089693,7,0.3522049998690886,0.001681567999185063
kmeans++,5,17,249.08225938134672,14,0.32981889545925014,0.0033289830025751144
kmeans++,5,18,247.4955306389104,12,0.32276281657806144,0.002925047985627316
kmeans++,5,19,261.5197286316586,8,0.3202296821560904,0.002123523998307064
kmeans++,5,20,248.667192866596,31,0.3304612402816931,0.008423042003414594
kmeans++,5,21,253.67514064701723,15,0.33041307641905604,0.0033215730072697625
kmeans++,5,22,245.87533562079796,21,0.3296526370332993,0.004819276990019716
kmeans++,5,23,245.42205010834104,13,0.3403175929163968,0.0029677889979211614
kmeans++,5,24,247.5399144146618,19,0.3210356546535985,0.006149915992864408
kmeans++,5,25,249.31547894236817,27,0.3195995786512805,0.007148807009798475
kmeans++,5,26,248.2852571590816,10,0.3386266033093671,0.0026730980025604367
kmeans++,5,27,255.17550848974503,9,0.32764929661716896,0.002391565009020269
kmeans++,5,28,252.82962742745377,29,0.32433029009621034,0.006813110987422988
kmeans++,5,29,248.667192866596,22,0.3304612402816931,0.005203590000746772
kmeans++,8,0,153.3616496223653,21,0.333877973187553,0.0062691220082342625
kmeans++,8,1,155.88381934931135,25,0.3369444243970993,0.008670276001794264
kmeans++,8,2,150.7193789477039,17,0.32902608798515387,0.005499541002791375
kmeans++,8,3,158.14958253405297,18,0.3140116101718397,0.005628066006465815
kmeans++,8,4,150.42707404612926,9,0.342606553311491,0.0028314890078036115
kmeans++,8,5,160.30512455221805,13,0.3108328958895979,0.0038389760011341423
kmeans++,8,6,150.47244899033328,14,0.3435842531807559,0.004509865990257822
kmeans++,8,7,160.64642394029306,12,0.3318299630447177,0.0043697239889297634
kmeans++,8,8,158.9531400176611,12,0.3252712584210554,0.0035077740030828863
kmeans++,8,9,153.22842417674866,21,0.33320910840137613,0.006227941004908644
kmeans++,8,10,152.71991399691504,19,0.3368364131745951,0.005896973991184495
kmeans++,8,11,164.29625334081186,16,0.32251167548941884,0.004564898990793154
kmeans++,8,12,150.5254175289138,16,0.3370900458364724,0.004361352999694645
kmeans++,8,13,154.5581709406654,13,0.3197848627936751,0.0057995200040750206
kmeans++,8,14,154.82427703654645,9,0.3316856404046008,0.0033517789997858927
kmeans++,8,15,160.23131534569427,13,0.31537400349411554,0.0037319239927455783
kmeans++,8,16,156.36939090871226,10,0.32271714061415596,0.002969869994558394
kmeans++,8,17,151.88835423190903,14,0.33486142192666024,0.00444708600116428
kmeans++,8,18,150.79621570002251,22,0.34047265625736,0.0074169309955323115
kmeans++,8,19,149.8903631100868,16,0.3379431920691598,0.00544668099610135
kmeans++,8,20,155.0535234595215,25,0.330000860345838,0.007389361009700224
kmeans++,8,21,154.7674876684401,17,0.33224527177363716,0.00498262100154534
kmeans++,8,22,153.3623940671506,12,0.3339788631592519,0.004008363001048565
kmeans++,8,23,149.6481480261191,13,0.34239087202615465,0.003842091013211757
kmeans++,8,24,153.91725603810514,42,0.33735384874712115,0.012388071001623757
kmeans++,8,25,157.178737270419,12,0.31601003732734584,0.005128775999764912
kmeans++,8,26,154.84638860739113,11,0.33305224369500086,0.003708982010721229
kmeans++,8,27,158.64503500097152,10,0.3345765634464019,0.0033999370061792433
