method,k,seed,inertia,iterations,silhouette,runtime
kmeans++,8,28,173.82790830004123,10,0.34190501235671444,0.0029014769970672205
kmeans++,8,29,172.57643706095809,10,0.31583173593239267,0.002980461998959072
gonzalez,3,0,442.5494767613831,18,0.4330556054236194,0.003459091007243842
gonzalez,3,1,431.7945067878133,17,0.3953853717498766,0.0025229460006812587
gonzalez,3,2,442.5494767613831,20,0.4330556054236194,0.0035216209944337606
gonzalez,3,3,430.90821069844606,18,0.3808386157628845,0.003026708000106737
gonzalez,3,4,442.5494767613831,19,0.4330556054236194,0.0036101410078117624
gonzalez,3,5,430.2972107167493,18,0.3967309405282826,0.0030188519885996357
gonzalez,3,6,442.5494767613831,18,0.4330556054236194,0.0029310999962035567
gonzalez,3,7,430.2972107167493,17,0.3967309405282826,0.0025972610019380227
gonzalez,3,8,442.5494767613831,17,0.4330556054236194,0.002778829002636485
gonzalez,3,9,430.2972107167493,18,0.3967309405282826,0.0029586540040327236
gonzalez,3,10,431.7945067878133,17,0.3953853717498766,0.0026794430013978854
gonzalez,3,11,442.5494767613831,18,0.4330556054236194,0.0032942109974101186
gonzalez,3,12,430.2972107167493,18,0.3967309405282826,0.002846470000804402
gonzalez,3,13,430.2972107167493,18,0.3967309405282826,0.002825602001394145
gonzalez,3,14,430.2972107167493,17,0.3967309405282826,0.0027029610064346343
gonzalez,3,15,442.5494767613831,18,0.4330556054236194,0.0030078949930612
gonzalez,3,16,442.5494767613831,18,0.4330556054236194,0.002634478994878009
gonzalez,3,17,442.5494767613831,20,0.4330556054236194,0.002971391993924044
gonzalez,3,18,430.2972107167493,17,0.3967309405282826,0.0031223450059769675
gonzalez,3,19,442.5494767613831,19,0.4330556054236194,0.004703889004304074
gonzalez,3,20,442.5494767613831,19,0.4330556054236194,0.0030809360032435507
gonzalez,3,21,430.2972107167493,20,0.3967309405282826,0.003423898000619374
gonzalez,3,22,442.5494767613831,20,0.4330556054236194,0.0031675409991294146
gonzalez,3,23,442.5494767613831,18,0.4330556054236194,0.002821806992869824
gonzalez,3,24,430.2972107167493,18,0.3967309405282826,0.0034322330029681325
gonzalez,3,25,442.5494767613831,17,0.4330556054236194,0.003419052009121515
gonzalez,3,26,430.2972107167493,18,0.3967309405282826,0.0030420449911616743
gonzalez,3,27,430.2972107167493,18,0.3967309405282826,0.0030289690039353445
gonzalez,3,28,430.2972107167493,18,0.3967309405282826,0.0030209160031517968
gonzalez,3,29,442.5494767613831,18,0.4330556054236194,0.003015109003172256
gonzalez,5,0,262.9647671884933,20,0.39977798027810635,0.004261436988599598
gonzalez,5,1,262.96295073845386,11,0.39992843462871935,0.0024118730070767924
gonzalez,5,2,262.9647671884933,19,0.39977798027810635,0.004854515995248221
gonzalez,5,3,263.9491541012046,11,0.4002995653130281,0.0035767869994742796
gonzalez,5,4,262.9647671884933,18,0.39977798027810635,0.00376550700457301
gonzalez,5,5,262.9647671884933,19,0.39977798027810635,0.004034109006170183
gonzalez,5,6,262.9647671884933,19,0.39977798027810635,0.003958239001804031
gonzalez,5,7,267.7209630644179,19,0.3089153475220406,0.004128995002247393
