symbol,avg_daily_return,volatility,n_days,annual_return,annual_volatility
EME,0.0015907790305511526,0.02836141700487672,249,0.396103978607237,0.44753561160716926
EMR,0.0005799025414395216,0.018980859959394903,249,0.14439573281844087,0.2995129181767324
EOG,-0.00038957230028854975,0.0180799465772894,249,-0.09700350277184888,0.28529674479596157
EPAM,-0.0001170698863213795,0.025794826723216858,249,-0.029150401694023498,0.40703550009122647
EQIX,-0.0005979836794544317,0.01722586042627893,249,-0.14889793618415348,0.2718194926582437
EQR,-0.00019790446370128393,0.01444465961077916,249,-0.0492782114616197,0.22793288403946327
EQT,0.0008345742255345438,0.023837544016460422,249,0.2078089821581014,0.37615009993277326
ERIE,-0.001159124302475197,0.02044990957346382,249,-0.28862195131632407,0.32269413008164394
ES,0.0009818114892600606,0.01708781780171228,249,0.2444710608257551,0.2696412167842748
ESS,-3.354496442837075e-05,0.015589363942176531,249,-0.008352696142664318,0.24599601371218766
ETN,0.00016806020837843767,0.023620240334040483,249,0.04184699188623098,0.37272110566215644
ETR,0.0010217399626364513,0.013543615212275328,249,0.25441325069647636,0.2137146432547984
EVRG,0.0008628671624807819,0.010515208671983264,249,0.2148539234577147,0.165927194095551
EW,0.0007556037228236147,0.014931217803649139,249,0.18814532698308006,0.23561064281967875
EXC,0.0008013717866676521,0.011893679460502016,249,0.19954157488024538,0.18767909624191692
EXE,0.0006663022031733511,0.019656288820334475,249,0.16590924859016443,0.31017100582890256
EXPD,0.0014352950192280027,0.018399107681997325,249,0.35738845978777267,0.2903330220797137
EXPE,0.0021675106741891603,0.029913873033344092,249,0.539710157873101,0.4720329545316753
EXR,-0.00019241581281811222,0.016295244815947015,249,-0.047911537391709946,0.25713462602166276
F,0.0017374818003634174,0.02089950417487025,249,0.4326329682904909,0.32978861322686587
FANG,-2.408869769931374e-06,0.024456901657837638,249,-0.0005998085727129121,0.38592339866427405
FAST,0.0006881334465531237,0.015356650648550262,249,0.17134522819172782,0.24232385987818691
FCX,0.0017200183420139693,0.030770761576484607,249,0.42828456716147834,0.48555442767131524
FDS,-0.0017786946322969626,0.018055681054827587,249,-0.4428949634419437,0.2849138413100727
FDX,0.0005131160998627843,0.02050613461936972,249,0.12776590886583328,0.3235813463410717
FE,0.0007109720540803174,0.012894266402425018,249,0.17703204146599905,0.20346809186729978
FFIV,0.00026502042352602505,0.02048753641806892,249,0.06599008545798024,0.32328787167467843
FICO,-0.00021716462637576045,0.02992487904216679,249,-0.05407399196756435,0.47220662642151684
FIS,-0.0004840853719334118,0.018582383222781135,249,-0.12053725761141953,0.2932250613323086
FITB,0.0007195731097612138,0.017622517222107753,249,0.17917370433054225,0.27807863132148
FOX,0.0015761805650174208,0.018533847153744606,249,0.3924689606893378,0.2924591750813665
FOXA,0.0018137911454412755,0.018435810769664135,249,0.45163399521487757,0.2909121870341309
FRT,-6.545417888969092e-05,0.014834367569836283,249,-0.01629809054353304,0.23408237190795805
FTNT,-0.0003516719398288984,0.026145400600218485,249,-0.0875663130173957,0.4125674625608888
FTV,9.119966500076717e-05,0.016459838352743214,249,0.022708716585191024,0.25973186822377164
GD,0.001193482296527997,0.013387156180156932,249,0.29717709183547125,0.21124576137140968
GDDY,-0.0016805191795855642,0.020342290498864005,249,-0.41844927571680546,0.3209959297285606
GE,0.0026300660487140123,0.01918321759980792,249,0.6548864461297891,0.30270606788254756
GEHC,0.00046181498858269087,0.023143853036671803,249,0.11499193215709003,0.3652038409058462
GEN,0.00017016640750648252,0.016971680261569453,249,0.04237143546911415,0.267808597312214
GILD,0.0014263140148738857,0.01753078587888363,249,0.3551521897035975,0.2766311351407956
GIS,-0.0009679453480994644,0.01453721467506443,249,-0.24101839167676664,0.2293933783192493
GL,0.0010481810871932444,0.0162063294775137,249,0.2609970907111179,0.25573156564706406
GLW,0.0028646221570616756,0.022919973155058348,249,0.7132909171083572,0.36167107596228953
GM,0.002151914079999907,0.023177118997629857,249,0.5358266059199768,0.3657287689156315
GNRC,-0.00013636715512130762,0.029583968473823743,249,-0.033955421625205595,0.46682714839048195
GOOG,0.002220214629622581,0.020138760555044648,249,0.5528334427760226,0.3177842813870159
GOOGL,0.0022410866833786507,0.020417395090279636,249,0.558030584161284,0.3221810601911155
GPC,0.00048081796925213637,0.01569126262962304,249,0.11972367434378195,0.24760394787854115
GPN,-0.0010974839923647173,0.02566262623556889,249,-0.2732735140988146,0.4049494115828799
GRMN,0.0002883872619452399,0.022512984393646535,249,0.07180842822436473,0.35524890163212963
GS,0.001980295566496517,0.019686754291750035,249,0.4930935960576328,0.3106517428590911
GWW,1.8206234580491664e-05,0.014780283378035896,249,0.004533352410542424,0.2332289377565014
HAL,0.0005601931308083044,0.027132561243342637,249,0.1394880895712678,0.42814459476479555
HAS,0.001902141130379062,0.022249291232449626,249,0.4736331414643864,0.3510878937335259
HBAN,0.0005949406800133897,0.018725241495243593,249,0.14814022932333404,0.29547932684833117
HCA,0.001987055246354347,0.017270406149225388,249,0.49477675634223234,0.2725224123099627
HD,-0.00028182277981685707,0.014613848342642111,249,-0.07017387217439741,0.23060263719665947
HIG,0.001097273047670683,0.013364616390013346,249,0.27322098887,0.2108900894821782
HII,0.0027634275190948233,0.02342498539165976,249,0.688093452254611,0.36964003464082296
HLT,0.0007817833458580802,0.016535419665731757,249,0.19466405311866197,0.2609245212258619
HON,-0.00013628863806892168,0.015616112797962649,249,-0.0339358708791615,0.24641810353696522
HPE,0.0009627203653959617,0.028359414505079096,249,0.23971737098359447,0.447504012693352
HPQ,-0.001050325329203867,0.023825181781442786,249,-0.2615310069717629,0.3759550271545514
HRL,-0.0008406865083166635,0.016414145283206918,249,-0.20933094057084922,0.2590108437482449
HSIC,0.0005509264673736184,0.01791743273932369,249,0.13718069037603098,0.2827323196878611
HST,0.0005295928535574638,0.018884100378481115,249,0.1318686205358085,0.2979860777436307
HSY,0.0005782695181226239,0.017153071381487396,249,0.14398911001253334,0.27067090090510665
HUBB,0.0004775697223500888,0.020076172260009677,249,0.11891486086517211,0.31679665474998614
HUM,0.0004962467028801596,0.0278061908390055,249,0.12356542901715974,0.4387742904897951
HWM,0.0027160088019422364,0.02150727054002756,249,0.6762861916836168,0.33937900470477306
IBKR,0.0018115976331513376,0.028681915269632194,249,0.45108781065468306,0.4525929889205706
IBM,0.001477193943715227,0.01903741092980063,249,0.3678212919850915,0.30040527743801876
ICE,0.0004428209365998396,0.011972964827769278,249,0.11026241321336006,0.1889301982346471
IDXX,0.0023853704370606897,0.0279861497903437,249,0.5939572388281117,0.44161399484368824
IEX,-0.00035980895885917997,0.018249963749855734,249,-0.08959243075593581,0.2879795705269578
IFF,-0.0005917753439874667,0.01769654707421462,249,-0.1473520606528792,0.27924680268379726
INCY,0.0016412964923874947,0.02152348200868286,249,0.4086828266044862,0.3396348173652778
INTU,0.0004556628003374671,0.019252220279363377,249,0.11346003728402931,0.3037949118000456
INVH,-0.00025619507655222205,0.013019644725177675,249,-0.0637925740615033,0.20544652842939903
IP,-0.0007396722011864896,0.024449182925448357,249,-0.1841783780954359,0.385801599121604
IQV,0.0008631432927533632,0.02411379657248382,249,0.21492267989558744,0.38050929173890613
IR,-0.0003170787420888806,0.02063371370140468,249,-0.07895260678013127,0.3255945102988873
IRM,-0.0005737154714659073,0.020955718244980985,249,-0.1428551523950109,0.3306756562911673
